SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,100 Glen Rd,Glen Burnie,MD,21060,249000,2,1.0,GLEN GARDENS,700,6642,1953,11,356,,Active,,,https://www.redfin.com/MD/Glen-Burnie/100-Glen-Rd-21060/home/10407628,BRIGHT MLS,MDAA2064298,N,Y,39.1618873,-76.6146683
MLS Listing,,Single Family Residential,7731 Lawrence Ave,Pasadena,MD,21122,249900,2,1.0,GREEN HAVEN,936,5000,1964,5,267,,Active,,,https://www.redfin.com/MD/Pasadena/7731-Lawrence-Ave-21122/home/10240093,BRIGHT MLS,MDAA2064832,N,Y,39.1459254,-76.5430165
MLS Listing,,Vacant Land,1329 Generals Hwy,Crownsville,MD,21032,250000,,,REGULARS,,49658,,147,,,Active,,,https://www.redfin.com/MD/Crownsville/1329-Generals-Hwy-21032/home/9926288,BRIGHT MLS,MDAA2054128,N,Y,39.0322699,-76.602209
MLS Listing,,Vacant Land,Log Inn Rd,Annapolis,MD,21409,250000,,,REGULARS,,116741,,12,,,Active,,,https://www.redfin.com/MD/Annapolis/Log-Inn-Rd-21409/home/10106720,BRIGHT MLS,MDAA2064058,N,Y,39.022776,-76.415888
MLS Listing,,Vacant Land,Paul Dr,Severn,MD,21144,250000,,,REGULARS,,46174,,176,,,Active,,,https://www.redfin.com/MD/Severn/Paul-Dr-21144/home/10322241,BRIGHT MLS,MDAA2052304,N,Y,39.125977,-76.690833
MLS Listing,,Condo/Co-op,600 Moonglow Rd #102,Odenton,MD,21113,253000,2,2.0,LIONS GATE,982,,1991,58,258,255,Active,,,https://www.redfin.com/MD/Odenton/600-Moonglow-Rd-21113/unit-102/home/10341805,BRIGHT MLS,MDAA2058384,N,Y,39.0833726,-76.6853311
MLS Listing,,Townhouse,200 W Riverview Rd,Brooklyn,MD,21225,253000,3,1.0,BROOKLYN PARK,992,2875,1949,252,255,,Active,,,https://www.redfin.com/MD/Brooklyn/200-W-Riverview-Rd-21225/home/10394581,BRIGHT MLS,MDAA2048676,N,Y,39.2321232,-76.617813
MLS Listing,,Vacant Land,4115 Old Muddy Creek Rd,Edgewater,MD,21037,255000,,,REGULARS,,87120,,47,,,Active,,,https://www.redfin.com/MD/Edgewater/4115-Old-Muddy-Creek-Rd-21037/home/185584006,BRIGHT MLS,MDAA2060170,N,Y,38.8870673,-76.5653754
MLS Listing,,Condo/Co-op,22 Silverwood Cir #8,Annapolis,MD,21403,255000,2,2.0,FAIRWINDS CONDO,1308,,1974,1,195,466,Active,,,https://www.redfin.com/MD/Annapolis/22-Silverwood-Cir-21403/unit-8/home/10447246,BRIGHT MLS,MDAA2064230,N,Y,38.95207,-76.4846631
MLS Listing,,Single Family Residential,461 Jewell Rd,Dunkirk,MD,20754,260000,2,1.0,REGULARS,588,10890,1920,1,442,,Active,,,https://www.redfin.com/MD/Dunkirk/461-Jewell-Rd-20754/home/10468276,BRIGHT MLS,MDAA2065108,N,Y,38.7508962,-76.6225771
MLS Listing,,Condo/Co-op,3 Silverwood Cir #2,Annapolis,MD,21403,260000,2,2.0,FAIRWINDS CONDO,,,1974,12,,432,Active,,,https://www.redfin.com/MD/Annapolis/3-Silverwood-Cir-21403/unit-2/home/10446661,BRIGHT MLS,MDAA2064218,N,Y,38.9506953,-76.4859611
MLS Listing,,Condo/Co-op,302-B Gatehouse Ln Unit 302B,Odenton,MD,21113,264900,2,2.0,SEVEN OAKS,1216,,1996,3,218,436,Active,,,https://www.redfin.com/MD/Odenton/302B-Gatehouse-Ln-21113/unit-302B/home/10377246,BRIGHT MLS,MDAA2064972,N,Y,39.09894,-76.715314
MLS Listing,,Single Family Residential,209 Glen Rd,Glen Burnie,MD,21060,265000,2,1.0,GLEN GARDENS,700,9540,1953,51,379,,Active,,,https://www.redfin.com/MD/Glen-Burnie/209-Glen-Rd-21060/home/10408207,BRIGHT MLS,MDAA2060212,N,Y,39.1659297,-76.6129638
MLS Listing,,Condo/Co-op,1496 Mara Vista Ct,Crofton,MD,21114,269000,2,1.0,CROFTON MEWS CONDO,1200,,1978,1,224,265,Pre On-Market,,,https://www.redfin.com/MD/Crofton/1496-Mara-Vista-Ct-21114/home/181127549,BRIGHT MLS,MDAA2065084,N,Y,39.0293619,-76.6823164
MLS Listing,,Vacant Land,5741 Deale Churchton Rd,Deale,MD,20751,269990,,,REGULARS,,41251,,246,,,Active,,,https://www.redfin.com/MD/Deale/5741-Deale-Churchton-Rd-20751/home/108286945,BRIGHT MLS,MDAA2048984,N,Y,38.7950466,-76.5428347
MLS Listing,,Vacant Land,Al Jones Dr,Shady Side,MD,20764,275000,,,COLUMBIA BEACH,,6334,,124,,,Active,,,https://www.redfin.com/MD/Shady-Side/Al-Jones-Dr-20764/home/10465289,BRIGHT MLS,MDAA2055910,N,Y,38.819934,-76.499736
MLS Listing,,Single Family Residential,1459 Washington Ave,Severn,MD,21144,275000,3,1.0,CEDARHURST,1204,7800,1952,7,228,,Active,,,https://www.redfin.com/MD/Severn/1459-Washington-Ave-21144/home/10327207,BRIGHT MLS,MDAA2064566,N,Y,39.1179694,-76.6897931
MLS Listing,,Vacant Land,1422 Howard Rd,Annapolis,MD,21403,275000,,,OYSTER HARBOR,,5000,,69,,,Active,,,https://www.redfin.com/MD/Annapolis/1422-Howard-Rd-21403/home/10036804,BRIGHT MLS,MDAA2059952,N,Y,38.9254786,-76.4649179
MLS Listing,,Vacant Land,1907 Mackiebeth Ct,Annapolis,MD,21401,275000,,,TWIN HILLS,,64226,,180,,21,Active,,,https://www.redfin.com/MD/Annapolis/1907-Mackiebeth-Ct-21401/home/183800155,BRIGHT MLS,MDAA2051776,N,Y,38.9920599,-76.589911
MLS Listing,,Vacant Land,140 Dennis Rd #140,Severna Park,MD,21146,275000,,,Severna Park,,65340,,41,,,Active,,,https://www.redfin.com/MD/Severna-Park/140-Dennis-Rd-21146/unit-140/home/185662171,BRIGHT MLS,MDAA2061962,N,Y,39.0934258,-76.5490378
MLS Listing,,Single Family Residential,304 Townsend Ave,Brooklyn,MD,21225,279900,3,1.0,BROOKLYN HEIGHTS,1333,6250,1952,19,210,,Active,,,https://www.redfin.com/MD/Baltimore/304-Townsend-Ave-21225/home/10392049,BRIGHT MLS,MDAA2062910,N,Y,39.2268434,-76.607683
MLS Listing,,Townhouse,665 Westphalia Dr,Glen Burnie,MD,21061,279900,3,2.5,PARKE WEST ADD,1632,4500,1979,1,172,,Active,,,https://www.redfin.com/MD/Glen-Burnie/665-Westphalia-Dr-21061/home/10352898,BRIGHT MLS,MDAA2064354,N,Y,39.1396398,-76.6510416
MLS Listing,,Single Family Residential,36 Hoyle Ln,Severna Park,MD,21146,279999,2,1.0,REGULARS,604,33541,1927,7,464,,Active,,,https://www.redfin.com/MD/Severna-Park/36-Hoyle-Ln-21146/home/10116958,BRIGHT MLS,MDAA2064456,N,Y,39.0589769,-76.5309623
MLS Listing,,Single Family Residential,5522 Moore St,Brooklyn,MD,21225,284900,4,1.0,ROLAND TERRACE,1372,6750,1951,4,208,,Active,,,https://www.redfin.com/MD/Baltimore/5522-Moore-St-21225/home/10424484,BRIGHT MLS,MDAA2064850,N,Y,39.2199492,-76.6088453
MLS Listing,,Townhouse,494 Renfro Ct,Glen Burnie,MD,21060,284900,3,2.5,VILLAGES AT FURNACE BRANCH,1720,2000,1999,5,166,80,Pre On-Market,,,https://www.redfin.com/MD/Glen-Burnie/494-Renfro-Ct-21060/home/10429251,BRIGHT MLS,MDAA2063182,N,Y,39.170491,-76.607467
MLS Listing,,Single Family Residential,1 Brewer St,Annapolis,MD,21401,285000,2,1.0,REGULARS,668,2550,1940,43,427,,Active,,,https://www.redfin.com/MD/Annapolis/1-Brewer-St-21401/home/10434813,BRIGHT MLS,MDAA2059812,N,Y,38.9800774,-76.4984408
MLS Listing,,Townhouse,514 Realm Ct E,Odenton,MD,21113,289000,2,1.5,KINGS RANSOM CONDO,1120,1638,1990,4,258,174,Active,,,https://www.redfin.com/MD/Odenton/514-Realm-Ct-E-21113/home/10339448,BRIGHT MLS,MDAA2064854,N,Y,39.0790509,-76.7043608
MLS Listing,,Vacant Land,Patuxent Rd,Odenton,MD,21113,290000,,,REGULARS,,138956,,109,,,Active,,,https://www.redfin.com/MD/Odenton/Patuxent-Rd-21113/home/10317633,BRIGHT MLS,MDAA2056626,N,Y,39.045662,-76.721158
MLS Listing,,Single Family Residential,205 Otis Dr,Severn,MD,21144,295000,3,1.0,MUNSON HEIGHTS,960,16200,1964,2,307,,Pre On-Market,,,https://www.redfin.com/MD/Severn/205-Otis-Dr-21144/home/10350119,BRIGHT MLS,MDAA2064730,N,Y,39.1440631,-76.6898383
MLS Listing,,Townhouse,1706 W Bancroft Ln,Crofton,MD,21114,299000,2,1.0,BANCROFT,1360,,1978,6,220,204,Pre On-Market,,,https://www.redfin.com/MD/Crofton/1706-W-Bancroft-Ln-21114/home/9938191,BRIGHT MLS,MDAA2064758,N,Y,39.0145089,-76.6779296
MLS Listing,,Single Family Residential,9216 Fort Smallwood Rd,Pasadena,MD,21122,299000,3,1.0,ROCK CREEK PARK,1040,22790,1948,28,288,,Active,,,https://www.redfin.com/MD/Pasadena/9216-Fort-Smallwood-Rd-21122/home/10281126,BRIGHT MLS,MDAA2062128,N,Y,39.1469024,-76.4833064
MLS Listing,,Townhouse,139 Heather Stone Way #14,Glen Burnie,MD,21061,299900,3,2.5,GLEN BURNIE,1372,,2005,11,219,280,Active,,,https://www.redfin.com/MD/Glen-Burnie/139-Heather-Stone-Way-21061/unit-14/home/10925617,BRIGHT MLS,MDAA2064142,N,Y,39.1532143,-76.6286583
MLS Listing,,Townhouse,7700 Scatteree Rd,Severn,MD,21144,299999,3,2.5,QUAIL RUN,1385,2070,1995,4,217,123,Active,,,https://www.redfin.com/MD/Severn/7700-Scatteree-Rd-21144/home/10361575,BRIGHT MLS,MDAA2064824,N,Y,39.1294109,-76.7065194
